id,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A19,A20,A21,A22,A24,A25,A26,A27,A28,B1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14,target
sample_1234,8,1,0,0,40,3,27,4,27,3,28,7,1,1,1,0,8,2,24,1,0,0,1,18,5,26,1,0,0,1,1,2,0.971
sample_1237,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.971
sample_1238,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,3,18,1,0,0,1,18,1,26,1,0,0,1,1,0,0.936
sample_124,28,3,0,0,29,0,29,1,29,3,30,6,1,1,1,1,22,0,19,8,0,17,1,4,7,4,11,0,2,0,0,8,0.891
sample_1241,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.947
sample_1242,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,3,18,1,0,0,1,18,1,26,1,0,0,1,1,0,0.936
sample_1243,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,2,0.971
sample_1244,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,2,18,1,0,0,1,18,1,26,1,0,0,1,1,0,0.936
sample_1245,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,3,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.925
sample_1246,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,18,1,26,1,0,0,1,1,2,0.971
sample_1247,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,3,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.936
sample_1248,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,18,1,26,1,0,0,1,1,0,0.925
sample_1250,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,18,1,26,1,0,0,1,1,0,0.925
sample_1251,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,3,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.919
sample_1252,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,18,1,26,1,0,0,1,1,2,0.971
sample_1253,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,3,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.925
sample_1254,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,18,1,26,1,0,0,1,1,0,0.925
sample_1258,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,18,1,26,1,0,0,1,1,2,0.985
sample_1259,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.936
sample_126,8,18,0,0,27,1,27,0,27,5,28,6,1,1,1,0,39,5,24,8,0,17,1,18,10,26,1,0,0,0,0,0,0.891
sample_1261,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,2,0.971
sample_1262,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,3,18,1,0,0,1,18,1,26,1,0,0,1,1,0,0.936
sample_1263,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.913
sample_1264,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,3,18,1,0,0,1,18,1,26,1,0,0,1,1,2,0.971
sample_1265,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,5,0,0,1,31,1,30,1,0,0,1,1,0,0.925
sample_1266,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,3,18,1,0,0,1,18,1,26,1,0,0,1,1,0,0.913
sample_1268,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,3,18,1,0,0,1,18,1,26,1,0,0,1,1,0,0.936
sample_1269,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.925
sample_127,38,19,0,0,9,0,9,2,9,0,9,7,1,1,1,1,40,0,10,6,0,16,1,9,9,22,1,0,0,0,0,0,0.879
sample_1270,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,3,18,1,0,0,1,18,1,26,1,0,0,1,1,2,0.983
sample_1271,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.913
sample_1272,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.936
sample_1273,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,2,18,1,0,0,1,18,1,26,1,0,0,1,1,2,0.971
sample_1275,26,1,0,0,0,3,0,4,0,3,0,3,1,1,1,0,27,3,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.913
sample_1277,8,1,0,0,27,1,27,0,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,0,0,1,1,0,0.936
sample_1279,3,1,0,0,22,1,22,0,22,3,23,7,1,1,1,0,24,3,18,1,0,0,1,23,1,12,1,0,0,1,1,2,0.971
sample_128,28,3,0,0,29,0,29,0,29,3,30,6,1,1,1,0,22,6,19,6,0,17,1,4,6,4,6,0,0,0,0,2,0.947
sample_1280,8,1,0,0,27,2,27,0,27,0,28,0,1,1,1,0,8,3,24,1,0,0,1,18,1,26,1,0,0,1,1,0,0.925
sample_1281,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.936
sample_1282,37,2,0,0,39,2,39,0,39,0,40,0,1,1,1,0,36,1,0,1,0,0,1,35,1,34,1,5,4,0,1,7,0.93
sample_1283,3,2,0,0,22,2,22,4,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,36,1,6,4,0,1,9,0.973
sample_1284,8,2,0,0,27,2,27,4,27,3,28,3,1,1,1,0,8,1,8,1,1,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1285,26,16,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,28,1,0,0,1,19,1,11,1,7,4,0,1,7,0.993
sample_1287,18,2,0,0,13,3,13,4,13,3,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1288,26,2,0,0,0,3,0,4,0,3,0,3,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,9,0.973
sample_1289,3,16,0,0,22,2,22,4,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,29,1,6,4,0,1,9,0.998
sample_129,24,3,0,0,2,0,2,1,2,0,2,6,1,1,1,1,2,0,22,8,0,17,1,34,6,7,6,0,0,0,0,0,0.891
sample_1290,8,1,0,0,27,1,27,2,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,8,4,0,1,7,0.943
sample_1294,26,16,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.955
sample_1297,26,2,0,0,0,3,0,4,0,3,0,3,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1298,18,2,0,0,13,1,13,2,13,1,13,2,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,8,4,0,1,7,0.955
sample_1299,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_13,31,3,0,0,33,0,32,2,32,1,33,2,0,0,2,0,41,6,41,0,0,2,0,13,0,29,0,0,0,0,0,2,0.923
sample_130,8,3,0,0,8,0,8,3,8,0,8,6,1,1,1,0,8,0,8,0,0,17,1,38,11,37,6,0,2,0,0,0,0.902
sample_1301,8,16,0,0,27,2,27,4,27,3,28,3,1,1,1,0,8,1,8,1,1,15,1,20,1,10,1,6,4,0,1,7,0.955
sample_1302,26,16,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.943
sample_1303,3,14,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,9,0.985
sample_1304,18,2,0,0,13,3,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,5,4,0,1,7,0.955
sample_1305,26,2,0,0,0,3,0,4,0,3,0,3,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.943
sample_1306,3,16,0,0,22,2,22,4,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,9,0.985
sample_1307,18,1,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,8,4,0,1,7,0.945
sample_1308,26,14,0,0,0,3,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1309,3,16,0,0,22,2,22,4,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,9,0.985
sample_131,8,1,0,0,27,2,27,0,27,0,28,0,1,1,1,0,8,2,24,6,0,0,1,18,7,26,1,0,0,1,1,2,0.983
sample_1310,18,1,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.943
sample_1312,3,2,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,9,0.973
sample_1313,18,16,0,0,13,2,13,4,13,3,13,3,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1314,26,16,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.943
sample_1315,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,9,0.973
sample_1316,18,2,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1317,26,2,0,0,0,2,0,4,0,3,0,3,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1318,3,16,0,0,22,2,22,4,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,9,0.985
sample_1319,18,1,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,8,4,0,1,7,0.93
sample_132,26,1,0,0,0,2,0,0,0,3,0,2,1,1,1,0,27,2,9,6,0,0,1,31,8,30,1,3,2,1,1,0,0.925
sample_1320,26,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1325,18,2,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1326,39,2,0,0,39,0,42,2,42,3,43,3,1,4,1,0,42,1,42,1,5,0,5,35,1,38,1,6,4,0,1,7,0.93
sample_133,3,14,0,0,22,2,22,0,22,3,23,3,1,1,1,0,24,3,18,6,0,2,1,23,7,12,1,0,0,1,1,0,0.936
sample_1330,3,2,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1332,26,16,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.943
sample_1334,18,2,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1335,26,2,0,0,0,2,0,4,0,3,0,3,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1336,3,16,0,0,22,2,22,4,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.955
sample_1339,3,2,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1342,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1343,18,2,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1344,26,2,0,0,0,2,0,4,0,3,0,3,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1345,3,16,0,0,22,2,22,4,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.943
sample_1346,18,1,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,8,4,0,1,7,0.93
sample_1347,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1348,3,2,0,0,22,2,9,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1349,18,16,0,0,13,2,13,4,13,3,13,3,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_135,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,3,2,1,1,0,0.925
sample_1350,26,16,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.943
sample_1351,18,2,0,0,13,2,13,4,13,3,13,3,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,2,0.888
sample_1353,3,1,0,0,22,2,22,5,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1355,26,2,0,0,0,2,0,4,0,3,0,3,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1357,18,1,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,2,0.888
sample_1358,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1362,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1366,18,1,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1367,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1368,3,2,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1369,18,2,0,0,13,2,13,4,13,3,13,3,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_137,8,1,0,0,27,1,27,0,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.983
sample_1371,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1372,18,2,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1374,3,2,0,0,22,2,22,4,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1375,18,1,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1376,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1377,3,2,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1378,18,1,0,0,13,2,13,4,13,3,13,3,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1379,26,2,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_138,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,3,2,1,1,0,0.947
sample_1381,18,2,0,0,13,2,27,0,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,5,4,0,1,7,0.93
sample_1382,18,1,0,0,13,2,13,4,13,3,13,3,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1384,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,24,1,6,4,0,1,7,0.943
sample_1385,18,2,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,7,0.93
sample_1386,26,2,0,0,0,2,0,4,0,3,0,3,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.943
sample_1387,3,2,0,0,22,2,22,4,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.918
sample_1388,18,1,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,6,4,0,1,2,0.888
sample_139,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,0,0,1,1,0,0.936
sample_1390,3,2,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1392,3,1,0,0,22,2,22,4,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1393,18,1,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,8,4,0,1,7,0.943
sample_1394,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,6,4,0,1,7,0.93
sample_1395,3,2,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1396,3,2,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,6,4,0,1,7,0.93
sample_1397,18,1,0,0,13,2,13,4,13,3,13,3,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,0,0,1,1,2,0.888
sample_1398,26,1,0,0,0,2,0,0,0,0,1,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,7,0.93
sample_14,32,15,0,0,35,0,34,0,34,1,35,2,0,0,0,1,43,0,43,0,0,2,0,40,2,25,0,3,0,0,0,2,0.923
sample_140,8,1,0,0,27,1,27,0,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.983
sample_1400,18,2,0,0,13,2,13,0,13,0,13,0,1,1,1,0,18,1,40,1,0,0,1,20,1,10,1,1,5,1,1,7,0.93
sample_1401,26,2,0,0,0,2,0,4,0,3,0,3,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,7,0.918
sample_1406,18,3,0,0,16,0,16,1,16,3,16,2,0,0,2,0,20,0,17,0,0,2,0,28,0,6,0,0,2,0,0,0,0.902
sample_1408,19,4,0,0,20,0,20,2,20,2,21,2,0,0,0,0,38,0,38,0,0,2,0,30,12,39,12,2,0,0,0,2,0.935
sample_1409,31,3,0,0,33,0,32,2,32,1,33,0,0,0,0,1,27,5,28,4,0,2,0,7,2,33,0,0,0,0,0,2,0.935
sample_141,26,1,0,0,0,1,0,0,0,3,0,2,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.913
sample_1410,32,11,0,0,35,0,34,0,34,1,35,1,0,0,0,1,13,0,13,0,0,2,0,42,0,24,0,0,0,0,0,2,0.935
sample_1414,38,15,0,0,9,0,9,2,9,1,9,2,0,0,0,1,9,0,9,0,0,2,0,13,0,13,0,4,2,0,0,2,0.923
sample_1416,18,3,0,0,16,0,16,2,16,1,16,2,0,0,5,0,6,0,6,0,0,15,0,28,12,34,0,0,0,0,0,2,0.947
sample_1417,34,3,0,0,42,0,43,0,43,3,44,0,2,0,2,0,22,0,19,0,0,2,0,29,0,3,0,0,1,0,0,2,0.935
sample_1418,20,12,0,0,21,0,21,2,21,0,22,2,0,0,0,1,38,0,38,0,0,15,1,30,0,28,0,0,0,0,0,2,0.935
sample_1419,23,12,0,0,9,0,24,2,24,1,25,2,0,0,2,0,27,0,28,0,1,15,0,13,0,7,1,0,0,0,0,2,0.923
sample_1420,21,3,0,0,25,0,25,2,25,1,26,2,0,0,5,0,21,0,18,7,2,15,1,18,0,8,0,2,0,0,0,2,0.923
sample_1421,40,12,0,0,43,0,44,2,44,1,45,1,0,0,5,0,12,0,12,0,0,2,0,28,0,38,0,0,2,0,0,0,0.891
sample_1423,20,12,0,0,44,0,45,2,45,1,46,2,0,0,0,0,26,0,44,0,0,15,1,30,12,39,0,0,0,0,0,2,0.935
sample_1424,9,3,0,0,33,0,32,2,32,1,33,2,0,0,5,0,9,0,9,0,0,2,0,23,0,17,0,0,0,0,0,0,0.902
sample_1425,32,15,0,0,35,0,34,4,34,3,35,0,0,0,1,0,2,0,22,0,0,2,0,40,0,32,0,0,0,0,0,0,0.902
sample_1426,35,12,0,0,38,0,37,2,37,0,38,3,0,0,1,1,6,0,6,0,0,2,1,36,0,4,0,0,0,0,0,0,0.879
sample_1427,4,12,0,0,0,0,0,4,0,6,0,8,0,0,1,0,22,0,19,0,0,15,0,37,13,10,0,0,0,0,0,0,0.891
sample_1428,41,3,0,0,10,0,10,2,10,2,10,1,0,0,5,0,26,0,25,0,0,2,0,30,0,39,0,0,0,0,0,0,0.891
sample_1429,31,12,0,0,33,0,32,2,32,2,33,1,0,1,1,1,27,0,28,0,0,2,0,13,0,13,0,4,2,0,0,0,0.879
sample_1430,3,3,0,0,25,0,25,2,25,0,26,3,0,0,0,0,43,0,43,0,0,15,1,40,0,20,0,0,0,0,0,2,0.935
sample_1431,35,3,0,0,27,0,27,1,27,1,28,2,0,0,0,0,20,0,17,0,0,15,0,24,12,34,0,0,0,0,0,2,0.947
sample_1432,34,15,0,0,40,0,40,2,40,2,41,4,0,0,5,0,19,0,16,0,0,2,0,29,0,3,0,0,0,0,0,0,0.891
sample_1434,23,3,0,0,24,0,24,2,24,1,25,2,0,0,0,0,27,0,28,0,2,15,1,13,12,40,0,2,0,0,0,2,0.935
sample_1435,19,3,0,0,22,0,22,0,22,0,23,1,0,0,0,0,21,0,18,0,0,15,0,38,2,8,0,0,0,0,0,7,0.943
sample_1436,33,12,0,0,13,0,13,2,13,2,13,1,0,0,2,0,29,0,29,0,0,2,0,28,0,38,0,0,0,0,0,2,0.935
sample_1437,4,15,0,0,45,1,46,2,46,1,47,1,0,0,1,1,42,0,42,0,0,15,1,34,0,3,0,0,0,0,0,2,0.923
sample_1439,14,3,0,0,17,0,17,2,17,1,17,2,0,0,5,0,16,0,26,0,0,4,2,17,0,7,0,0,0,0,0,2,0.935
sample_144,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.925
sample_1440,32,12,0,0,35,0,34,2,34,1,35,1,0,0,1,0,44,0,45,0,0,2,0,40,2,23,0,0,0,0,0,7,0.9798
sample_1441,12,3,0,0,43,0,44,1,44,2,45,0,0,0,1,1,6,0,6,0,0,15,1,36,0,4,0,0,0,0,0,0,0.879
sample_1442,42,11,0,0,40,0,40,0,40,1,41,4,0,0,0,0,22,0,19,0,0,15,0,29,2,10,0,0,0,0,0,7,0.9798
sample_1443,2,3,0,0,2,0,2,2,2,2,2,1,0,0,0,0,28,0,27,0,0,2,0,30,0,39,1,0,0,0,0,7,1.0008
sample_1444,9,11,0,0,34,0,33,0,33,1,34,1,0,0,1,1,9,0,9,0,0,2,1,37,0,13,0,0,2,0,0,7,0.98
sample_1445,3,15,0,0,3,0,3,1,3,4,3,4,0,0,0,0,43,0,43,0,0,0,0,40,0,8,0,0,0,0,0,0,0.902
sample_1446,35,3,0,0,27,0,27,2,27,1,28,2,0,5,1,0,6,0,6,0,0,15,0,36,12,4,0,0,0,0,0,0,0.891
sample_1448,2,15,0,0,2,0,2,2,2,2,2,4,0,0,1,1,26,0,25,0,0,15,0,6,0,39,1,0,2,0,0,0,0.891
sample_1449,31,12,0,0,37,0,36,2,36,1,37,1,0,0,6,0,9,0,9,0,0,15,0,3,2,12,0,0,0,0,0,0,0.879
sample_1451,27,15,0,0,27,0,27,2,27,1,28,1,0,0,0,0,15,6,14,0,0,2,0,28,0,38,0,0,0,0,0,2,0.935
sample_1454,8,3,0,0,8,0,8,1,8,1,8,0,0,0,1,1,8,0,8,5,1,0,1,25,0,20,6,0,0,0,0,0,0.902
sample_1456,37,3,0,0,39,0,39,1,39,1,40,1,0,0,1,1,19,0,16,5,0,14,1,43,2,5,1,2,1,0,0,10,0.879
sample_1458,23,3,0,0,9,0,9,2,9,1,9,2,0,6,7,1,40,0,10,5,1,13,1,44,0,3,1,2,0,0,0,0,0.891
sample_1462,1,20,0,0,46,0,47,0,47,0,48,1,0,0,1,0,11,0,11,5,1,11,0,32,2,41,1,4,2,0,0,0,0.902
sample_1463,23,6,0,0,24,1,24,0,24,0,25,1,0,0,7,1,40,0,10,5,1,14,2,37,0,42,1,0,2,0,0,0,0.902
sample_1465,8,3,0,0,13,0,13,2,13,1,13,2,0,0,1,0,14,0,1,5,0,14,2,31,2,30,1,0,0,0,0,10,0.879
sample_1466,0,3,0,0,47,0,48,2,48,0,49,1,0,0,1,0,45,0,36,5,1,14,2,27,2,3,1,0,0,0,0,0,0.879
sample_1467,43,21,0,0,22,0,22,1,22,1,23,4,0,0,1,0,2,0,5,5,1,14,2,16,2,32,1,0,0,0,0,0,0.874
sample_1468,11,21,0,0,17,0,17,2,17,1,17,1,0,0,1,0,25,0,23,5,1,14,2,28,0,34,1,0,0,0,0,0,0.879
sample_1469,28,21,0,0,23,1,23,2,23,1,24,9,0,0,1,0,0,0,0,5,1,14,2,45,2,43,1,2,0,0,0,0,0.902
sample_147,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,3,9,6,0,0,1,31,8,30,1,3,2,1,1,0,0.936
sample_1470,24,3,0,0,48,0,49,2,49,1,50,2,0,0,1,0,26,0,25,5,1,11,1,46,2,15,1,0,0,0,0,0,0.891
sample_1471,36,22,0,0,28,1,38,2,38,1,39,4,0,0,1,0,23,0,20,5,1,11,2,4,2,29,1,0,0,0,0,0,0.902
sample_1472,19,5,0,0,49,0,50,0,50,2,51,1,0,7,1,0,43,0,43,5,1,14,6,38,2,32,1,0,0,0,0,11,0.89
sample_1473,18,3,0,0,1,0,1,2,1,1,1,2,0,0,1,0,8,0,8,5,1,11,0,15,2,4,1,0,2,0,0,0,0.902
sample_1476,44,23,0,0,17,0,17,2,17,1,17,4,0,0,1,0,16,0,26,5,1,11,0,12,2,40,1,0,0,0,0,10,0.879
